Name,bibcode,Vizier name,frequencies (MHz),flux units,flux_columns,e_flux_columns,max beam size (arcsec),min beam size (arcsec),nsources,area (deg^2),instrument,flux limit (mJy),freq of flux limit (MHz),final_obs_year,notes,peak_integrated,match_radius_95,match_radius_99,comp_match_radius_95,comp_match_radius_99,reliability,peak_fluxcol,peak_efluxcol
RACS,2021PASA...38...58H,J/other/PASA/38.58/galcut,887.5,mJy,total_flux_gaussian,e_total_flux_gaussian,25,25,2462639,28020,ASKAP,1,887.5,2020, base catalogue. nsources is components but there are 2123638 islands. Peak flux and int flux of components (also int flux of island should I use that?),b,-1,-1,-1,-1,1,peak_flux,e_peak_flux
HACT,2011ApJ...732...45S,J/ApJ/732/45/table3,4860;8460;22460;43340,mJy,SC;SX;SK;SQ,e_SC;e_SX;e_SK;e_SQ,16;7.7;4.6;2.4,9;4.5;3.1;1.6,159,-1,VLA,40,20000,2010,targeted. based on AT20G. Visual inspection suggests 50 arcsec radius would be acceptable. Integrated flux,i,171,171,75,75,1,,
HACT90,2011ApJ...732...45S,J/ApJ/732/45/table4,90000,mJy,S90m,e_S90m,9,9,25,-1,VLA,40,20000,2010,targeted based on AT20G and radius based on above,i,171,171,75,75,1,,
GLEAM,2017MNRAS.464.1146H,VIII/100/gleamegc,76;84;92;99;107;115;122;130;143;151;158;166;174;181;189;197;204;212;220;227,Jy,Fint076;Fint084;Fint092;Fint099;Fint107;Fint115;Fint122;Fint130;Fint143;Fint151;Fint158;Fint166;Fint174;Fint181;Fint189;Fint197;Fint204;Fint212;Fint220;Fint227,e_Fint076;e_Fint084;e_Fint092;e_Fint099;e_Fint107;e_Fint115;e_Fint122;e_Fint130;e_Fint143;e_Fint151;e_Fint158;e_Fint166;e_Fint174;e_Fint181;e_Fint189;e_Fint197;e_Fint204;e_Fint212;e_Fint220;e_Fint227,120,120,307455,24831,MWA,50,200,2014,integrated flux,i,25,16,34,19,1,,
VLASS,2021ApJS..255...30G,J/ApJS/255/30/comp,3000,mJy,Ftot,e_Ftot,2.5,2.5,3381277,33880,VLA,3,3000,2019,integrated flux for all sky north of dec=-40 with area calculated. First look so 15% flux underestimate,i,12,7,10,7,2,,
VLSSr,2014MNRAS.440..327L,VIII/97/catalog,73.8,Jy,Sp,e_Sp,75,75,92964,30939,VLA,335,74,2007,peak flux with area calculated approximate from section 6 of paper. Corrects flux errors in vlss,p,25,17,40,24,1,Sp,e_Sp
TGSS,2017A&A...598A..78I,J/A+A/598/A78/table3,150,mJy,Stotal,e_Stotal,25,25,623604,36900,GMRT,3,150,2012,,b,18,9,22,13,1,Speak,e_Speak
AT20G,2010MNRAS.402.2403M,J/MNRAS/402/2403/at20gcat,5000;8000;20000,mJy,S5;S8;S20,e_S5;e_S8;e_S20,34;21;21,10.8;8.3;8.3,5867,20086,ATCA,40,20000,2008,"peak flux only but these are all compact, so fine to assume peak approx. = integrated",p,19,19,31,11,1,,
NVSS,1998AJ....115.1693C,VIII/65/nvss,1400,mJy,S1.4,e_S1.4,45,45,1773484,33827,VLA,2,1400,1997,integrated flux only,i,11,8,18,9,1,,
FIRST,2015ApJ...801...26H,VIII/92/first14,1400,mJy,Fint,,5,5,946432,10575,VLA,1,1400,2011,no errors. From reading paper (esp. p10) it looks like 10% or 1mJy whichever is greater is reasonable),b,13,7,10,7,2,Fpeak,
SUMSS,2003MNRAS.342.1117M;2013yCat.8081....0M,VIII/81B/sumss212,843,mJy,St,e_St,45,45,211050,8100,MOST,6,843,2003,is MOST the same as the molongolo radio telescope? Flux limit is 10 at dec > -50,b,14,10,22,13,1,Sp,e_Sp
TXS,1996AJ....111.1945D,VIII/42/txs,365,Jy,S365,e_S365,360,260,66841,31538,Texas Interferometer,80,365,1983,integrated flux only. from 1974-83 so could be too old? The area is calculated from the dec limits of dec = -35.5 to dec = 71.5. Paper says synthesised beam = 12.7arcmin^2,i,16,10,28,17,1,,
PMNS,1994ApJS...91..111W,VIII/38/pmns,4850,mJy,Flux,e_Flux,252,252,50841,23265,Parkes,20,4850,1990,area is 2.50sr + 0.677sr + 2.01 + 1.9sr = 7.087,i,43,19,55,20,1,GFlux,e_GFlux
PMNZ,1994ApJS...91..111W,VIII/38/pmnz,4850,mJy,Flux,e_Flux,252,252,50841,23265,Parkes,20,4850,1990,options are Flux or Gflux where Gflux is the flux density derived from a gaussian not of fixed width. So these should be the same for point sources but for extended we want Gflux,i,50,30,57,22,1,GFlux,e_GFlux
PMNT,1994ApJS...91..111W,VIII/38/pmnt,4850,mJy,Flux,e_Flux,252,252,50841,23265,Parkes,20,4850,1990,,i,45,23,57,24,1,GFlux,e_GFlux
PMNE,1994ApJS...91..111W,VIII/38/pmne,4850,mJy,Flux,e_Flux,252,252,50841,23265,Parkes,20,4850,1990,,i,44,23,57,21,1,GFlux,e_GFlux
SPASS,2017PASA...34...13M,J/other/PASA/34.13/s-pass,2307,Jy,F2307,e_F2307,645,645,23389,16000,Parkes,65,2307,2010,peak and integrated,b,48,8,65,1,1,Fp2307,e_Fp2307
C1813,2011MNRAS.416.1135R,J/MNRAS/416/1135/table7,1400;2300;4800;8600,Jy,S1.4;S2.3;S4.8;S8.6,e_S1.4;e_S2.3;e_S4.8;e_S8.6,40,40,42,-1,ATCA,1500,2700,2008, collects other survey data too. Only ~42 sources observed. Visual inspection of matches,i,129,48,60,60,1,,
C1813_new,2011MNRAS.416.1135R,J/MNRAS/416/1135/table8,1400;2300;4800;8600,Jy,S1.4;S2.7;S5;S8.4,,40,40,26,-1,ATCA,1500,2700,2008," collects other survey data too. New data is indicated by an asterisk in the ""n_"" columns and the 2700 column if new is actually at 2300MHz",i,104,53,60,60,1,,
PKSCAT90,1990PKS...C......0W,VIII/15/pkscat90, 80;178;408;635;1410;2700;5000;8400;22000,Jy,S80;S178;S408;S635;S1410;S2700;S5000;S8400;S22000,,60,60,8264,5007,Parkes,50,1400,1990, no uncertainties. BEWARE because we don't know where these fluxes are coming from. Use 15%,i,34,16,54,25,2,,
Ricci06,2006A&A...445..465R,J/A+A/445/465/table1, 18500;22000,Jy,S18.5GHz;S22GHz,e_S18.5GHz;e_S22GHz,120,120,250,-1,ATCA,1000,5000,2002, has errors with 250 sources from a previous >1Jy sample at 5GHz. 99% match radius added manually,i,103,54,155,155,1,,
WISH,2002A&A...394...59D,VIII/69A/wish11,352,mJy,SI,,18,18,90357,5252,WSRT,18,352,1998, has peak and integrated flux with some errors. Is a WENSS extension in the sourthern sky. Beam size from specfind. BEWARE take it out because it's unreliable. Use 15% errors,b,31,15,33,18,2,S,
MRC,1981MNRAS.194..693L,VIII/16/mrcj2000,408,Jy,S408,e_S408,172,172,12141,25770,Molongolo Radio Telescope,690,408,1974,integrated flux. Not sure what to do about 99% match as my code says it should be zero.,i,22,16,50,26,1,,
ATPMN,2012MNRAS.422.1527M,J/MNRAS/422/1527/atpmncat,4800;8600,mJy,S5;S8,e_S5;e_S8,2.8,1.5,9040,7757,ATCA,50,4850,1994,5 and 8 for a sample of PMN sources but should be covered by AT20G! Uses archival data from ATOA,i,18,9,31,18,1,,
CCA,1995AuJPh..48..143S,VIII/35/catalog,80;160,Jy,S_80_;S_160_,,222;111,222;111,2213,-1,Culgoora Circular Array,1200,160,1984,Targeted based on Parkes 4C and Ohio. Integrated fluxes and I guess use 15% errors. Other flux lim is 2Jy at 80MHz,i,43,20,89,23,1,,
ALMACAL,2019MNRAS.485.1188B,J/MNRAS/485/1188/acccat,various,Jy,Flux,e_Flux,-1,-1,-1,-1,ALMA,-1,-1,-1,,,22,22,,,1,,
